공정명,시작일,종료일
토공사,2024-07-01,2024-07-04
말뚝기초,2024-07-05,2024-07-09
기초거푸집,2024-07-10,2024-07-13
기초타설,2024-07-14,2024-07-17
지하층 방수,2024-07-18,2024-07-20
1층 기둥거푸집,2024-07-21,2024-07-23
1층 슬래브 타설,2024-07-24,2024-07-26
2층 기둥철근,2024-07-27,2024-07-29
2층 슬래브 타설,2024-07-30,2024-08-01
옥상 방수,2024-08-02,2024-08-04
창호 설치,2024-08-05,2024-08-07
외부도장,2024-08-08,2024-08-11
전기배관,2024-08-12,2024-08-14
기계설비,2024-08-15,2024-08-17
타일 시공,2024-08-18,2024-08-21
도배,2024-08-22,2024-08-24
조명 설치,2024-08-25,2024-08-26
마감청소,2024-08-27,2024-08-28
